Barrio,Distrito,Vulnerabilidad,Esperanza de vida (años),Renta media hogar (€)
Abrantes,Carabanchel,15,"82,6",26.841
Acacias,Arganzuela,85,"84,4",43.512
Adelfas,Retiro,97,"82,5",44.308
Aeropuerto,Barajas,61,"81,8",22.835
Alameda de Osuna,Barajas,116,"83,9",51.560
Almagro,Chamberí,113,84,69.449
Almenara,Tetuán,32,"82,6",27.382
Almendrales,Usera,12,"83,4",24.167
Aluche,Latina,33,84,30.206
Ambroz,Vicálvaro,29,"83,3",22.752
Amposta,San Blas,18,"78,4",20.885
Apóstol Santiago,Hortaleza,71,"84,2",35.149
Arapiles,Chamberí,93,83,40.170
Aravaca,Moncloa-Aravaca,120,82,72.528
Arcos,San Blas,36,"81,5",26.735
Argüelles,Moncloa-Aravaca,100,"82,9",51.926
Atalaya,Ciudad Lineal,88,"84,1",62.597
Atocha,Arganzuela,83,"78,8",36.649
Bellas Vistas,Tetuán,43,"83,1",29.189
Berruguete,Tetuán,39,"82,8",26.857
Buenavista,Carabanchel,30,"82,8",29.879
Butarque,Villaverde,31,82,28.093
Campamento,Latina,40,"82,5",30.638
Canillas,Hortaleza,76,"84,4",38.581
Canillejas,San Blas,37,"83,1",30.764
Cármenes,Latina,27,"82,4",27.725
Casa de Campo,Moncloa-Aravaca,87,"82,7",40.609
Casco Histórico de Barajas,Barajas,69,83,32.839
Casco Histórico de Vallecas,Villa de Vallecas,35,"82,8",26.951
Casco Histórico de Vicálvaro,Vicálvaro,52,"82,9",33.101
Castellana,Salamanca,117,"84,1",83.082
Castilla,Chamartín,114,"85,1",55.731
Castillejos,Tetuán,63,"84,4",44.890
Chopera,Arganzuela,64,"83,4",30.205
Ciudad Jardín,Chamartín,89,"83,5",41.736
Ciudad Universitaria,Moncloa-Aravaca,108,"83,2",64.475
Colina,Ciudad Lineal,81,"83,9",52.757
Comillas,Carabanchel,21,"83,3",26.236
Concepción,Ciudad Lineal,58,"83,7",33.377
Corralejos,Barajas,128,"84,7",64.548
Cortes,Centro,56,"80,9",32.403
Costillares,Ciudad Lineal,86,"83,9",64.341
Cuatro Caminos,Tetuán,62,"83,5",40.897
Cuatro Vientos,Latina,49,"80,6",35.486
Delicias,Arganzuela,82,"83,5",37.964
El Goloso,Fuencarral-El Pardo,112,"88,7",52.624
El Pardo,Fuencarral-El Pardo,75,"80,2",36.340
El Plantío,Moncloa-Aravaca,125,"79,2",114.186
El Viso,Chamartín,126,"84,7",113.001
Embajadores,Centro,42,82,23.833
Entrevías,Puente de Vallecas,2,80,20.937
Estrella,Retiro,119,"85,4",57.297
Fontarrón,Moratalaz,44,"81,8",27.349
Fuente del Berro,Salamanca,92,"83,9",39.343
Fuentelarreina,Fuencarral-El Pardo,107,"84,9",97.930
Gaztambide,Chamberí,94,"83,8",42.285
Goya,Salamanca,105,"83,8",47.232
Guindalera,Salamanca,99,"84,9",44.888
Hellín,San Blas,24,"81,5",22.633
Hispanoamérica,Chamartín,118,"84,2",61.177
Horcajo,Moratalaz,72,"82,2",41.991
Ibiza,Retiro,106,"82,8",44.356
Imperial,Arganzuela,84,"83,7",41.022
Jerónimos,Retiro,121,"84,9",68.950
Justicia,Centro,68,"81,4",35.913
La Paz,Fuencarral-El Pardo,90,"84,4",57.509
Águilas,Latina,34,"83,2",29.036
Legazpi,Arganzuela,102,"82,9",46.590
Lista,Salamanca,103,"84,7",46.933
Ángeles,Villaverde,22,"83,2",27.746
Rosales,Villaverde,23,"83,3",27.223
Lucero,Latina,28,84,29.136
Marroquina,Moratalaz,66,"83,5",39.335
Media Legua,Moratalaz,51,"83,5",34.988
Mirasierra,Fuencarral-El Pardo,109,"82,8",73.750
Moscardó,Usera,17,"82,2",24.962
Niño Jesús,Retiro,124,"83,8",69.740
Nueva España,Chamartín,123,"84,8",77.392
Numancia,Puente de Vallecas,3,"82,8",23.662
Opañel,Carabanchel,20,"82,7",27.181
Orcasitas,Usera,25,"81,3",25.886
Orcasur,Usera,16,"80,6",23.155
Pacífico,Retiro,104,"84,2",40.851
Palacio,Centro,57,"79,5",32.445
Palomas,Hortaleza,111,"78,8",77.837
Palomeras Bajas,Puente de Vallecas,7,"82,8",27.963
Palomeras Sureste,Puente de Vallecas,6,"82,3",25.307
Palos de Moguer,Arganzuela,70,"83,3",32.218
Pavones,Moratalaz,54,81,33.197
Peñagrande,Fuencarral-El Pardo,79,"83,1",44.659
Pilar,Fuencarral-El Pardo,67,"83,6",33.138
Pinar del Rey,Hortaleza,59,"83,6",33.645
Piovera,Hortaleza,110,"83,4",101.620
Portazgo,Puente de Vallecas,5,"81,3",22.797
Pradolongo,Usera,8,"82,7",21.750
Prosperidad,Chamartín,91,83,42.259
Pueblo Nuevo,Ciudad Lineal,46,"82,8",29.206
Puerta Bonita,Carabanchel,11,"82,1",24.384
Puerta del Angel,Latina,26,"83,2",26.497
Quintana,Ciudad Lineal,45,"83,6",29.504
Recoletos,Salamanca,122,"84,1",82.755
Rejas,San Blas,60,"85,2",36.011
Ríos Rosas,Chamberí,101,"84,4",47.942
Rosas,San Blas,74,"83,8",41.993
Salvador,San Blas,73,"84,5",53.791
San Andrés,Villaverde,10,82,23.505
San Cristóbal,Villaverde,4,"81,3",17.786
San Diego,Puente de Vallecas,1,"82,1",19.765
San Fermín,Usera,19,"82,1",24.196
San Isidro,Carabanchel,9,"82,7",24.847
San Juan Bautista,Ciudad Lineal,80,"83,9",55.567
San Pascual,Ciudad Lineal,65,"84,2",41.228
Santa Eugenia,Villa de Vallecas,48,"82,3",35.176
Simancas,San Blas,38,"83,1",29.645
Sol,Centro,53,"79,1",27.707
Timón,Barajas,98,83,38.994
Trafalgar,Chamberí,95,"83,5",39.428
Universidad,Centro,55,"82,8",28.883
Valdeacederas,Tetuán,41,83,26.531
Valdefuentes,Hortaleza,96,"83,2",52.806
Valdemarín,Moncloa-Aravaca,127,"81,2",111.689
Valdezarza,Moncloa-Aravaca,78,"83,7",33.997
Vallehermoso,Chamberí,115,"84,3",56.812
Valverde,Fuencarral-El Pardo,77,"82,2",39.881
Ventas,Ciudad Lineal,47,"83,9",27.436
Vinateros,Moratalaz,50,"84,3",28.287
Vista Alegre,Carabanchel,14,"83,2",27.013
Zofío,Usera,13,"84,3",24.303